"index","order_number","date","warehouse","client_type","product_line","quantity","unit_price","total","payment","payment_fee"
"143","N144","2021-07-08T00:00:00.000","North","Retail","Frame & body","1","40.93","40.93","Credit card","0.03"
"144","N145","2021-07-08T00:00:00.000","North","Retail","Suspension & traction","8","40.52","324.16","Cash","0"
"145","N146","2021-07-08T00:00:00.000","North","Retail","Engine","8","64.93","519.47","Credit card","0.03"
"146","N147","2021-07-08T00:00:00.000","North","Retail","Miscellaneous","10","20.53","205.32","Credit card","0.03"
"147","N148","2021-07-08T00:00:00.000","North","Retail","Suspension & traction","1","29.83","29.83","Credit card","0.03"
"148","N149","2021-07-09T00:00:00.000","North","Retail","Braking system","1","11.62","11.62","Cash","0"
"149","N150","2021-07-09T00:00:00.000","North","Retail","Frame & body","7","47.72","334.03","Credit card","0.03"
"150","N151","2021-07-09T00:00:00.000","North","Retail","Braking system","10","24.83","248.3","Credit card","0.03"
"151","N152","2021-07-10T00:00:00.000","North","Retail","Braking system","1","13.64","13.64","Credit card","0.03"
"152","N153","2021-07-10T00:00:00.000","North","Wholesale","Miscellaneous","36","19.17","690.24","Transfer","0.01"
"153","N154","2021-07-10T00:00:00.000","North","Wholesale","Frame & body","40","37.04","1481.6","Transfer","0.01"
"154","N155","2021-07-11T00:00:00.000","North","Retail","Braking system","7","17.28","120.93","Cash","0"
"155","N156","2021-07-11T00:00:00.000","North","Retail","Miscellaneous","5","20.76","103.82","Credit card","0.03"
"156","N157","2021-07-11T00:00:00.000","North","Retail","Suspension & traction","1","37.34","37.34","Credit card","0.03"
"157","N158","2021-07-11T00:00:00.000","North","Wholesale","Braking system","40","13.36","534.27","Transfer","0.01"
"158","N159","2021-07-12T00:00:00.000","North","Retail","Suspension & traction","3","38.35","115.04","Credit card","0.03"
"159","N160","2021-07-12T00:00:00.000","North","Retail","Frame & body","4","49.13","196.51","Credit card","0.03"
"160","N161","2021-07-13T00:00:00.000","North","Retail","Electrical system","5","24.49","122.46","Credit card","0.03"
"161","N162","2021-07-13T00:00:00.000","North","Retail","Electrical system","6","20.9","125.43","Credit card","0.03"
"162","N163","2021-07-13T00:00:00.000","North","Retail","Frame & body","2","45.27","90.54","Credit card","0.03"
"163","N164","2021-07-14T00:00:00.000","North","Retail","Suspension & traction","4","30.38","121.5","Credit card","0.03"
"164","N165","2021-07-14T00:00:00.000","North","Retail","Electrical system","1","29.47","29.47","Cash","0"
"165","N166","2021-07-15T00:00:00.000","North","Retail","Frame & body","3","40.78","122.32","Credit card","0.03"
"166","N167","2021-07-15T00:00:00.000","North","Retail","Suspension & traction","8","41.59","332.75","Credit card","0.03"
"167","N168","2021-07-15T00:00:00.000","North","Retail","Electrical system","1","31.88","31.88","Credit card","0.03"
"168","N169","2021-07-16T00:00:00.000","North","Retail","Miscellaneous","3","24.52","73.55","Credit card","0.03"
"169","N170","2021-07-16T00:00:00.000","North","Retail","Suspension & traction","8","36.66","293.28","Credit card","0.03"
"170","N171","2021-07-16T00:00:00.000","North","Retail","Braking system","3","16.99","50.97","Credit card","0.03"
"171","N172","2021-07-16T00:00:00.000","North","Retail","Braking system","3","17.03","51.1","Credit card","0.03"
"172","N173","2021-07-16T00:00:00.000","North","Retail","Electrical system","6","19.21","115.26","Credit card","0.03"
"173","N174","2021-07-17T00:00:00.000","North","Retail","Miscellaneous","7","17.47","122.29","Credit card","0.03"
"174","N175","2021-07-18T00:00:00.000","North","Retail","Suspension & traction","8","39.8","318.39","Credit card","0.03"
"175","N176","2021-07-18T00:00:00.000","North","Retail","Braking system","3","15.9","47.69","Credit card","0.03"
"176","N177","2021-07-18T00:00:00.000","North","Retail","Electrical system","5","22.43","112.13","Credit card","0.03"
"177","N178","2021-07-18T00:00:00.000","North","Retail","Frame & body","9","49.68","447.14","Credit card","0.03"
"178","N179","2021-07-18T00:00:00.000","North","Wholesale","Braking system","32","21.83","698.45","Transfer","0.01"
"179","N180","2021-07-18T00:00:00.000","North","Retail","Electrical system","3","32.02","96.04","Credit card","0.03"
"180","N181","2021-07-18T00:00:00.000","North","Retail","Braking system","3","13.82","41.45","Cash","0"
"181","N182","2021-07-19T00:00:00.000","North","Wholesale","Suspension & traction","24","30.74","737.68","Transfer","0.01"
"182","N183","2021-07-19T00:00:00.000","North","Wholesale","Braking system","28","23.06","645.59","Transfer","0.01"
"183","N184","2021-07-19T00:00:00.000","North","Wholesale","Electrical system","4","27.08","108.32","Transfer","0.01"
"184","N185","2021-07-20T00:00:00.000","North","Retail","Braking system","2","24.75","49.49","Credit card","0.03"
"185","N186","2021-07-20T00:00:00.000","North","Wholesale","Miscellaneous","36","29.78","1071.96","Transfer","0.01"
"186","N187","2021-07-20T00:00:00.000","North","Wholesale","Electrical system","36","28.26","1017.48","Transfer","0.01"
"187","N188","2021-07-20T00:00:00.000","North","Retail","Engine","5","58.46","292.33","Credit card","0.03"
"188","N189","2021-07-21T00:00:00.000","North","Retail","Miscellaneous","5","28.72","143.58","Credit card","0.03"
"189","N190","2021-07-21T00:00:00.000","North","Retail","Suspension & traction","2","31.28","62.56","Credit card","0.03"
"190","N191","2021-07-21T00:00:00.000","North","Retail","Engine","10","55.39","553.87","Credit card","0.03"
"191","N192","2021-07-22T00:00:00.000","North","Retail","Electrical system","3","32.44","97.32","Credit card","0.03"
"192","N193","2021-07-23T00:00:00.000","North","Retail","Suspension & traction","10","27.9","279.03","Credit card","0.03"
"193","N194","2021-07-23T00:00:00.000","North","Retail","Suspension & traction","1","35.97","35.97","Credit card","0.03"
"194","N195","2021-07-23T00:00:00.000","North","Wholesale","Frame & body","40","37.42","1496.6","Transfer","0.01"
"195","N196","2021-07-24T00:00:00.000","North","Retail","Miscellaneous","4","25.58","102.31","Credit card","0.03"
"196","N197","2021-07-25T00:00:00.000","North","Retail","Suspension & traction","10","31.71","317.1","Credit card","0.03"
"197","N198","2021-07-25T00:00:00.000","North","Wholesale","Suspension & traction","8","32.95","263.57","Transfer","0.01"
"198","N199","2021-07-26T00:00:00.000","North","Retail","Miscellaneous","3","29.93","89.8","Credit card","0.03"
"199","N200","2021-07-26T00:00:00.000","North","Retail","Electrical system","6","28.14","168.84","Credit card","0.03"
"200","N201","2021-07-26T00:00:00.000","North","Retail","Frame & body","5","48.57","242.84","Credit card","0.03"
"201","N202","2021-07-26T00:00:00.000","North","Retail","Frame & body","1","43.95","43.95","Credit card","0.03"
"202","N203","2021-07-26T00:00:00.000","North","Retail","Braking system","4","20.51","82.03","Credit card","0.03"
"203","N204","2021-07-26T00:00:00.000","North","Retail","Electrical system","3","27.53","82.59","Credit card","0.03"
"204","N205","2021-07-27T00:00:00.000","North","Retail","Electrical system","2","24.44","48.87","Cash","0"
"205","N206","2021-07-27T00:00:00.000","North","Retail","Braking system","1","17.58","17.58","Credit card","0.03"
"206","N207","2021-07-28T00:00:00.000","North","Wholesale","Braking system","8","11.91","95.31","Transfer","0.01"
"207","N208","2021-07-28T00:00:00.000","North","Retail","Braking system","9","21.32","191.9","Credit card","0.03"
"208","N209","2021-07-28T00:00:00.000","North","Retail","Miscellaneous","10","25.74","257.4","Credit card","0.03"
"209","N210","2021-07-28T00:00:00.000","North","Wholesale","Suspension & traction","28","40.43","1132.13","Transfer","0.01"
"210","N211","2021-07-28T00:00:00.000","North","Retail","Braking system","10","11.48","114.75","Credit card","0.03"
"211","N212","2021-07-29T00:00:00.000","North","Wholesale","Miscellaneous","24","26.77","642.48","Transfer","0.01"
"212","N213","2021-07-29T00:00:00.000","North","Retail","Electrical system","3","26","78","Credit card","0.03"
"213","N214","2021-07-30T00:00:00.000","North","Retail","Suspension & traction","2","30.79","61.58","Credit card","0.03"
"214","N215","2021-07-30T00:00:00.000","North","Retail","Electrical system","10","24.25","242.47","Credit card","0.03"
"215","N216","2021-07-30T00:00:00.000","North","Retail","Braking system","4","12.05","48.21","Credit card","0.03"
"216","N217","2021-07-31T00:00:00.000","North","Retail","Frame & body","2","39.91","79.82","Credit card","0.03"
"217","N218","2021-07-31T00:00:00.000","North","Retail","Miscellaneous","4","24.42","97.68","Credit card","0.03"
"218","N219","2021-07-31T00:00:00.000","North","Wholesale","Frame & body","12","48.1","577.26","Transfer","0.01"
"219","N220","2021-08-01T00:00:00.000","North","Retail","Electrical system","7","21.49","150.44","Credit card","0.03"
"220","N221","2021-08-01T00:00:00.000","North","Retail","Braking system","1","16.07","16.07","Credit card","0.03"
"221","N222","2021-08-01T00:00:00.000","North","Retail","Engine","1","54.17","54.17","Credit card","0.03"
"222","N223","2021-08-01T00:00:00.000","North","Retail","Suspension & traction","7","32.72","229.05","Credit card","0.03"
"223","N224","2021-08-01T00:00:00.000","North","Retail","Braking system","8","12.03","96.23","Credit card","0.03"
"224","N225","2021-08-02T00:00:00.000","North","Retail","Suspension & traction","9","30.55","274.95","Cash","0"
"225","N226","2021-08-02T00:00:00.000","North","Retail","Miscellaneous","4","25.78","103.11","Credit card","0.03"
"226","N227","2021-08-02T00:00:00.000","North","Wholesale","Braking system","36","16.49","593.76","Transfer","0.01"
"227","N228","2021-08-02T00:00:00.000","North","Retail","Engine","3","61.45","184.36","Credit card","0.03"
"228","N229","2021-08-02T00:00:00.000","North","Retail","Frame & body","7","35.39","247.73","Credit card","0.03"
"229","N230","2021-08-02T00:00:00.000","North","Wholesale","Engine","40","58.1","2324.2","Transfer","0.01"
"230","N231","2021-08-02T00:00:00.000","North","Retail","Electrical system","5","19.1","95.52","Credit card","0.03"
"231","N232","2021-08-02T00:00:00.000","North","Retail","Suspension & traction","4","34.42","137.69","Credit card","0.03"
"232","N233","2021-08-02T00:00:00.000","North","Wholesale","Electrical system","24","33.3","799.32","Transfer","0.01"
"233","N234","2021-08-03T00:00:00.000","North","Retail","Suspension & traction","3","38.05","114.16","Cash","0"
"234","N235","2021-08-03T00:00:00.000","North","Retail","Braking system","2","21.98","43.97","Credit card","0.03"
"235","N236","2021-08-04T00:00:00.000","North","Wholesale","Electrical system","36","20.25","729","Transfer","0.01"
"236","N237","2021-08-04T00:00:00.000","North","Retail","Frame & body","6","48.69","292.13","Credit card","0.03"
"237","N238","2021-08-04T00:00:00.000","North","Wholesale","Frame & body","40","35.97","1438.73","Transfer","0.01"
"238","N239","2021-08-04T00:00:00.000","North","Retail","Electrical system","1","29.96","29.96","Cash","0"
"239","N240","2021-08-05T00:00:00.000","North","Wholesale","Suspension & traction","16","29.72","475.49","Transfer","0.01"
"240","N241","2021-08-05T00:00:00.000","North","Retail","Electrical system","9","19.26","173.32","Credit card","0.03"
"241","N242","2021-08-05T00:00:00.000","North","Retail","Suspension & traction","1","41.32","41.32","Credit card","0.03"
"242","N243","2021-08-06T00:00:00.000","North","Retail","Electrical system","1","32.86","32.86","Cash","0"
"243","N244","2021-08-06T00:00:00.000","North","Retail","Suspension & traction","6","30.67","183.99","Credit card","0.03"
"244","N245","2021-08-06T00:00:00.000","North","Wholesale","Suspension & traction","40","40.11","1604.33","Transfer","0.01"
"245","N246","2021-08-06T00:00:00.000","North","Retail","Braking system","5","18.63","93.14","Credit card","0.03"
"246","N247","2021-08-07T00:00:00.000","North","Retail","Engine","4","58.62","234.47","Credit card","0.03"
"247","N248","2021-08-07T00:00:00.000","North","Retail","Braking system","8","24.55","196.39","Credit card","0.03"
"248","N249","2021-08-07T00:00:00.000","North","Wholesale","Miscellaneous","20","29.96","599.27","Transfer","0.01"
"249","N250","2021-08-07T00:00:00.000","North","Retail","Frame & body","2","43.48","86.96","Credit card","0.03"
"250","N251","2021-08-07T00:00:00.000","North","Retail","Frame & body","10","42.04","420.43","Credit card","0.03"
"251","N252","2021-08-07T00:00:00.000","North","Retail","Electrical system","10","25.32","253.23","Cash","0"
"252","N253","2021-08-08T00:00:00.000","North","Retail","Suspension & traction","7","40.62","284.3","Credit card","0.03"
"253","N254","2021-08-08T00:00:00.000","North","Retail","Frame & body","3","37.64","112.92","Credit card","0.03"
"254","N255","2021-08-08T00:00:00.000","North","Wholesale","Miscellaneous","28","15.02","420.61","Transfer","0.01"
"255","N256","2021-08-08T00:00:00.000","North","Retail","Electrical system","2","26.34","52.68","Credit card","0.03"
"256","N257","2021-08-08T00:00:00.000","North","Retail","Frame & body","5","43.77","218.85","Credit card","0.03"
"257","N258","2021-08-08T00:00:00.000","North","Retail","Braking system","2","22.95","45.89","Credit card","0.03"
"258","N259","2021-08-09T00:00:00.000","North","Retail","Suspension & traction","8","35.57","284.56","Credit card","0.03"
"259","N260","2021-08-09T00:00:00.000","North","Retail","Suspension & traction","5","29.72","148.6","Credit card","0.03"
